,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
1612,1612.0,2021-06-16 17:06:59.662473+00:00,x,y,2021-07-06 17:00:00+00:00,2021-07-06 18:59:00+00:00,gamma,True,20,1,c-6,1612,10227
4914,4914.0,2021-08-27 11:29:37.356112+00:00,x,y,2021-09-04 07:00:00+00:00,2021-09-04 09:00:00+00:00,alpha,True,20,1,a-5,4914,8697
4137,4137.0,2021-03-08 19:38:55.101279+00:00,x,y,2021-03-12 05:00:00+00:00,2021-03-12 07:00:00+00:00,gamma,True,20,1,c-2,4137,10227
2147,2147.0,2021-03-14 04:39:33.073081+00:00,x,y,2021-03-17 16:00:00+00:00,2021-03-17 17:55:00+00:00,beta,True,20,0,b-19,2147,8739
4066,4066.0,2021-08-28 18:00:52.593708+00:00,x,y,2021-09-13 10:00:00+00:00,2021-09-13 12:00:00+00:00,alpha,True,20,1,a-7,4066,11716
3719,3719.0,2021-06-23 12:09:47.912495+00:00,x,y,2021-06-24 04:00:00+00:00,2021-06-24 06:00:00+00:00,alpha,True,35,1,a-1,3719,8739
1479,1479.0,2021-05-26 08:39:25.610409+00:00,x,y,2021-06-01 14:00:00+00:00,2021-06-01 15:55:00+00:00,beta,True,20,0,b-9,1479,8739
1401,1401.0,2021-06-06 20:21:50.526720+00:00,x,y,2021-06-17 04:00:00+00:00,2021-06-17 06:00:00+00:00,alpha,True,35,1,a-1,1401,7400
1873,1873.0,2021-03-28 19:07:57.438864+00:00,x,y,2021-04-12 17:00:00+00:00,2021-04-12 18:59:00+00:00,gamma,True,20,1,c-6,1873,10227
1450,1450.0,2021-06-10 07:28:35.462113+00:00,x,y,2021-06-27 17:00:00+00:00,2021-06-27 18:59:00+00:00,gamma,True,20,1,c-6,1450,10721
3452,3452.0,2021-07-19 07:16:36.414392+00:00,x,y,2021-07-22 17:00:00+00:00,2021-07-22 18:59:00+00:00,gamma,True,20,2,c-6,3452,8155
586,586.0,2021-07-17 09:14:58.596878+00:00,x,y,2021-08-04 17:00:00+00:00,2021-08-04 18:59:00+00:00,gamma,True,20,1,c-6,586,8650
4255,4255.0,2021-03-17 10:40:14.639317+00:00,x,y,2021-03-27 11:00:00+00:00,2021-03-27 13:00:00+00:00,gamma,True,20,2,c-4,4255,8739
1982,1982.0,2021-08-14 11:24:07.104527+00:00,x,y,2021-08-15 17:00:00+00:00,2021-08-15 18:59:00+00:00,gamma,True,20,1,c-6,1982,10665
671,671.0,2021-05-13 17:57:30.509963+00:00,x,y,2021-10-30 17:00:00+00:00,2021-10-30 18:59:00+00:00,gamma,True,20,1,c-6,671,10400
4879,4879.0,2021-08-27 23:51:26.267066+00:00,x,y,2021-09-18 16:00:00+00:00,2021-09-18 18:00:00+00:00,alpha,True,15,1,a-23,4879,8650
4664,4664.0,2021-07-04 14:48:00.227821+00:00,x,y,2021-07-17 09:45:00+00:00,2021-07-17 11:45:00+00:00,gamma,True,20,2,c-2,4664,8739
1810,1810.0,2021-08-28 05:37:35.102640+00:00,x,y,2021-09-20 10:30:00+00:00,2021-09-20 12:25:00+00:00,beta,True,20,0,b-69,1810,8739
1047,1047.0,2021-05-20 20:48:02.959745+00:00,x,y,2021-05-30 05:00:00+00:00,2021-05-30 07:00:00+00:00,alpha,True,15,1,a-1,1047,10227
2923,2923.0,2021-08-25 18:06:38.937893+00:00,x,y,2021-09-05 17:00:00+00:00,2021-09-05 18:59:00+00:00,gamma,True,20,2,c-6,2923,7400
3142,3142.0,2021-05-28 13:07:42.786261+00:00,x,y,2021-05-31 05:00:00+00:00,2021-05-31 07:00:00+00:00,gamma,True,0,0,c-2,3142,8650
81,81.0,2021-04-24 15:44:01.732335+00:00,x,y,2021-05-16 17:00:00+00:00,2021-05-16 18:59:00+00:00,gamma,True,20,2,c-6,81,10665
4675,4675.0,2021-05-21 16:48:35.504354+00:00,x,y,2021-06-30 05:00:00+00:00,2021-06-30 07:00:00+00:00,gamma,True,20,1,c-2,4675,8650
304,304.0,2021-08-05 10:53:04.095949+00:00,x,y,2021-08-06 17:00:00+00:00,2021-08-06 18:59:00+00:00,gamma,True,20,1,c-6,304,10227
2233,2233.0,2021-02-08 15:56:14.246824+00:00,x,y,2021-02-27 16:00:00+00:00,2021-02-27 18:10:00+00:00,alpha,True,20,1,a-7,2233,8739
4031,4031.0,2021-08-21 09:18:06.479536+00:00,x,y,2021-08-29 13:00:00+00:00,2021-08-29 15:00:00+00:00,alpha,True,20,1,a-9,4031,8697
3998,3998.0,2021-06-22 00:52:30.457590+00:00,x,y,2021-06-23 13:00:00+00:00,2021-06-23 15:00:00+00:00,alpha,True,15,1,a-9,3998,10227
2530,2530.0,2021-07-04 04:13:10.365473+00:00,x,y,2021-08-01 04:00:00+00:00,2021-08-01 06:00:00+00:00,alpha,True,15,1,a-1,2530,8155
532,532.0,2021-05-18 07:06:06.683379+00:00,x,y,2021-05-20 16:00:00+00:00,2021-05-20 18:00:00+00:00,alpha,True,35,1,a-7,532,13097
4888,4888.0,2021-07-02 05:49:40.968326+00:00,x,y,2021-07-30 11:00:00+00:00,2021-07-30 12:55:00+00:00,beta,True,40,0,b-69,4888,8697
4756,4756.0,2021-08-30 22:29:28.045211+00:00,x,y,2021-09-07 16:00:00+00:00,2021-09-07 18:00:00+00:00,alpha,True,20,1,a-23,4756,10227
3722,3722.0,2021-08-19 17:15:42.095276+00:00,x,y,2021-08-27 10:00:00+00:00,2021-08-27 12:00:00+00:00,alpha,True,15,1,a-7,3722,8697
16,16.0,2021-06-09 09:22:15.313790+00:00,x,y,2021-06-19 05:00:00+00:00,2021-06-19 07:00:00+00:00,gamma,True,20,1,c-2,16,10227
1186,1186.0,2021-07-01 15:29:07.743974+00:00,x,y,2021-07-03 04:00:00+00:00,2021-07-03 06:00:00+00:00,alpha,True,15,1,a-1,1186,13097
4447,4447.0,2021-02-18 02:59:00.277682+00:00,x,y,2021-03-14 05:00:00+00:00,2021-03-14 07:00:00+00:00,gamma,True,20,1,c-2,4447,8697
99,99.0,2021-02-28 19:01:02.038028+00:00,x,y,2021-03-07 05:00:00+00:00,2021-03-07 07:00:00+00:00,gamma,True,20,1,c-2,99,10227
4746,4746.0,2021-08-20 23:38:01.497977+00:00,x,y,2021-09-18 05:00:00+00:00,2021-09-18 06:55:00+00:00,beta,True,20,0,b-1,4746,10227
1643,1643.0,2021-04-19 12:36:32.254939+00:00,x,y,2021-05-26 05:00:00+00:00,2021-05-26 07:00:00+00:00,gamma,True,20,1,c-2,1643,8739
2714,2714.0,2021-07-26 14:06:31.100716+00:00,x,y,2021-08-04 11:00:00+00:00,2021-08-04 12:55:00+00:00,beta,True,40,0,b-69,2714,10227
1992,1992.0,2021-07-29 04:15:14.213118+00:00,x,y,2021-08-02 14:00:00+00:00,2021-08-02 16:00:00+00:00,gamma,True,20,1,c-4,1992,8697
3358,3358.0,2021-03-15 15:18:09.021502+00:00,x,y,2021-03-19 05:00:00+00:00,2021-03-19 07:00:00+00:00,gamma,True,20,2,c-2,3358,8155
2003,2003.0,2021-08-10 18:35:40.400060+00:00,x,y,2021-10-05 14:00:00+00:00,2021-10-05 15:55:00+00:00,beta,True,20,0,b-9,2003,8697
4003,4003.0,2020-12-31 19:46:37.878323+00:00,x,y,2021-01-01 13:00:00+00:00,2021-01-01 15:00:00+00:00,alpha,True,0,0,a-5,4003,8739
4321,4321.0,2021-08-24 19:08:39.571394+00:00,x,y,2021-09-30 14:00:00+00:00,2021-09-30 16:00:00+00:00,gamma,True,20,2,c-4,4321,11915
3321,3321.0,2021-05-20 07:49:19.311563+00:00,x,y,2021-05-24 05:00:00+00:00,2021-05-24 06:55:00+00:00,beta,True,20,0,b-1,3321,8739
3850,3850.0,2021-02-09 18:42:50.963220+00:00,x,y,2021-02-17 05:15:00+00:00,2021-02-17 07:25:00+00:00,alpha,True,0,0,a-1,3850,8739
3483,3483.0,2021-06-08 15:25:45.407274+00:00,x,y,2021-06-21 13:00:00+00:00,2021-06-21 15:00:00+00:00,alpha,True,15,1,a-9,3483,8739
3179,3179.0,2021-03-12 15:26:40.070234+00:00,x,y,2021-03-13 15:30:00+00:00,2021-03-13 17:30:00+00:00,alpha,True,35,1,a-7,3179,8155
4823,4823.0,2021-04-30 07:24:02.635478+00:00,x,y,2021-05-01 11:00:00+00:00,2021-05-01 13:00:00+00:00,gamma,True,20,1,c-4,4823,8739
499,499.0,2021-06-03 09:21:49.868945+00:00,x,y,2021-07-18 05:00:00+00:00,2021-07-18 06:55:00+00:00,beta,True,20,0,b-1,499,8739
2742,2742.0,2021-07-09 07:47:43.175400+00:00,x,y,2021-07-31 14:00:00+00:00,2021-07-31 15:55:00+00:00,beta,True,40,0,b-9,2742,10227
2361,2361.0,2021-04-12 08:53:40.986380+00:00,x,y,2021-04-22 05:00:00+00:00,2021-04-22 07:00:00+00:00,alpha,True,35,1,a-1,2361,8697
2982,2982.0,2021-08-16 04:58:23.635979+00:00,x,y,2021-08-18 05:00:00+00:00,2021-08-18 06:55:00+00:00,beta,True,20,0,b-1,2982,10227
3559,3559.0,2021-02-26 22:25:39.659272+00:00,x,y,2021-03-02 13:30:00+00:00,2021-03-02 15:40:00+00:00,alpha,True,35,1,a-5,3559,9877
4409,4409.0,2021-06-12 16:43:34.967932+00:00,x,y,2021-06-14 09:45:00+00:00,2021-06-14 11:45:00+00:00,gamma,True,20,1,c-2,4409,9900
447,447.0,2021-01-20 08:32:46.433718+00:00,x,y,2021-01-26 13:00:00+00:00,2021-01-26 15:00:00+00:00,alpha,True,0,0,a-5,447,8697
502,502.0,2021-03-04 12:41:52.418343+00:00,x,y,2021-03-21 17:00:00+00:00,2021-03-21 18:59:00+00:00,gamma,True,20,1,c-6,502,10227
2757,2757.0,2021-02-22 12:05:25.597792+00:00,x,y,2021-02-24 13:00:00+00:00,2021-02-24 15:00:00+00:00,alpha,True,15,1,a-5,2757,7900
2512,2512.0,2021-06-10 16:07:38.710430+00:00,x,y,2021-06-17 13:00:00+00:00,2021-06-17 15:00:00+00:00,alpha,True,15,1,a-9,2512,8650
4348,4348.0,2021-07-22 02:04:49.885332+00:00,x,y,2021-10-01 07:00:00+00:00,2021-10-01 09:00:00+00:00,alpha,True,35,1,a-5,4348,10227
533,533.0,2021-03-28 19:38:37.743653+00:00,x,y,2021-04-03 17:00:00+00:00,2021-04-03 18:59:00+00:00,gamma,True,20,1,c-6,533,8739
