Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0,2021-01-08 12:43:27.828728+00:00,x,y,2021-01-23 05:00:00+00:00,2021-01-23 07:00:00+00:00,gamma,TRUE,0,0,c-2
1,2021-07-01 04:45:11.397541+00:00,x,y,2021-07-01 13:00:00+00:00,2021-07-01 15:00:00+00:00,alpha,TRUE,35,1,a-9
2,2021-06-24 11:28:47.565115+00:00,x,y,2021-07-29 14:00:00+00:00,2021-07-29 16:00:00+00:00,gamma,TRUE,20,1,c-4
3,2021-06-05 11:09:48.655927+00:00,x,y,2021-06-09 16:00:00+00:00,2021-06-09 18:00:00+00:00,alpha,TRUE,15,1,a-23
4,2021-07-29 09:53:51.065306+00:00,x,y,2021-08-23 05:00:00+00:00,2021-08-23 06:55:00+00:00,beta,TRUE,20,0,b-1
5,2021-01-01 11:49:07.165618+00:00,x,y,2021-01-04 11:00:00+00:00,2021-01-04 13:00:00+00:00,gamma,TRUE,32,1,c-4
6,2021-08-28 10:49:50.302029+00:00,x,y,2021-09-07 05:00:00+00:00,2021-09-07 06:55:00+00:00,beta,TRUE,20,0,b-1
7,2021-04-22 07:20:38.318085+00:00,x,y,2021-06-27 11:00:00+00:00,2021-06-27 13:00:00+00:00,gamma,TRUE,20,1,c-4
8,2021-07-19 18:37:51.671780+00:00,x,y,2021-07-24 16:00:00+00:00,2021-07-24 18:00:00+00:00,alpha,TRUE,15,1,a-23
9,2021-06-21 15:43:34.364957+00:00,x,y,2021-07-25 07:00:00+00:00,2021-07-25 09:00:00+00:00,alpha,TRUE,15,1,a-5
10,2021-07-13 11:09:29.505629+00:00,x,y,2021-08-03 14:00:00+00:00,2021-08-03 15:55:00+00:00,beta,TRUE,20,0,b-9
11,2021-06-08 07:23:26.057725+00:00,x,y,2021-06-22 05:00:00+00:00,2021-06-22 07:00:00+00:00,gamma,TRUE,20,2,c-2
12,2021-07-06 11:30:30.267036+00:00,x,y,2021-07-14 05:00:00+00:00,2021-07-14 06:55:00+00:00,beta,TRUE,40,0,b-1
13,2021-05-27 08:43:59.211430+00:00,x,y,2021-06-04 14:00:00+00:00,2021-06-04 15:55:00+00:00,beta,TRUE,20,0,b-9
14,2021-04-11 06:41:40.481256+00:00,x,y,2021-04-12 15:30:00+00:00,2021-04-12 17:30:00+00:00,alpha,TRUE,15,1,a-7
15,2021-08-28 12:05:39.935432+00:00,x,y,2021-09-09 04:40:00+00:00,2021-09-09 06:40:00+00:00,omega,TRUE,20,1,d-1
16,2021-06-09 09:22:15.313790+00:00,x,y,2021-06-19 05:00:00+00:00,2021-06-19 07:00:00+00:00,gamma,TRUE,20,1,c-2
17,2021-08-03 09:06:01.967499+00:00,x,y,2021-10-17 07:00:00+00:00,2021-10-17 09:00:00+00:00,alpha,TRUE,15,1,a-5
18,2021-05-08 12:41:43.627721+00:00,x,y,2021-05-22 17:00:00+00:00,2021-05-22 18:59:00+00:00,gamma,TRUE,20,1,c-6
19,2021-05-21 19:42:31.554246+00:00,x,y,2021-05-26 05:00:00+00:00,2021-05-26 07:00:00+00:00,alpha,TRUE,15,1,a-1
20,2021-08-09 21:21:27.643325+00:00,x,y,2021-10-29 17:00:00+00:00,2021-10-29 18:59:00+00:00,gamma,TRUE,20,1,c-6
21,2021-08-15 13:54:08.766722+00:00,x,y,2021-08-17 07:00:00+00:00,2021-08-17 09:00:00+00:00,alpha,TRUE,15,1,a-5
22,2021-05-25 11:52:16.948776+00:00,x,y,2021-06-06 05:00:00+00:00,2021-06-06 06:55:00+00:00,beta,TRUE,20,0,b-1
23,2021-08-15 14:30:36.000529+00:00,x,y,2021-08-19 13:00:00+00:00,2021-08-19 15:00:00+00:00,alpha,TRUE,15,1,a-9
24,2021-01-03 18:47:50.910493+00:00,x,y,2021-01-16 13:00:00+00:00,2021-01-16 15:00:00+00:00,alpha,TRUE,20,1,a-5
25,2021-07-26 07:18:42.489996+00:00,x,y,2021-09-24 13:00:00+00:00,2021-09-24 15:00:00+00:00,alpha,TRUE,15,1,a-9
26,2021-07-02 10:03:20.287129+00:00,x,y,2021-07-16 09:45:00+00:00,2021-07-16 11:45:00+00:00,gamma,TRUE,20,2,c-2
27,2021-05-05 23:39:28.807486+00:00,x,y,2021-05-15 05:00:00+00:00,2021-05-15 07:00:00+00:00,gamma,TRUE,20,2,c-2
28,2021-07-19 17:45:09.896448+00:00,x,y,2021-07-29 13:00:00+00:00,2021-07-29 15:00:00+00:00,alpha,TRUE,35,1,a-9
29,2021-07-05 07:51:11.634753+00:00,x,y,2021-08-03 17:00:00+00:00,2021-08-03 18:59:00+00:00,gamma,TRUE,20,2,c-6
30,2021-02-06 06:33:47.647745+00:00,x,y,2021-02-16 13:00:00+00:00,2021-02-16 15:00:00+00:00,alpha,TRUE,0,0,a-5
31,2021-08-11 23:17:12.236198+00:00,x,y,2021-08-17 14:00:00+00:00,2021-08-17 16:00:00+00:00,gamma,TRUE,20,2,c-4
32,2021-07-19 06:56:44.071995+00:00,x,y,2021-07-24 17:00:00+00:00,2021-07-24 18:59:00+00:00,gamma,TRUE,20,2,c-6
33,2021-04-06 11:22:45.513322+00:00,x,y,2021-05-02 11:00:00+00:00,2021-05-02 13:00:00+00:00,gamma,TRUE,20,1,c-4
34,2021-08-13 05:47:58.496125+00:00,x,y,2021-08-28 10:00:00+00:00,2021-08-28 12:00:00+00:00,gamma,TRUE,20,1,c-2
