,target
0,7400
1,8650
2,9150
3,10400
4,8697
5,8697
6,8697
7,8697
8,9900
9,8650
10,7400
11,8650
12,8697
13,8697
14,8697
15,8697
16,10227
17,8739
18,10227
19,8739
20,10227
21,8739
22,9900
23,8650
24,7400
25,8650
26,8697
27,8697
28,8697
29,8697
30,8697
31,8697
32,8697
33,8697
34,10227
35,10227
36,8739
37,10227
38,8739
39,8739
40,10400
41,7400
42,8650
43,9150
44,7400
45,8650
46,9150
47,10400
48,13097
49,13097
50,13097
51,13097
52,8739
53,10227
54,8739
55,10227
56,8739
57,10227
58,8650
59,8650
60,9900
61,7400
62,8697
63,13097
64,13097
65,8739
66,10227
67,8739
68,10227
69,8739
70,10227
71,7400
72,8650
73,8650
74,9900
75,8697
76,9877
77,8697
78,10721
79,8910
80,10160
81,10665
82,11915
83,11716
84,10227
85,10227
86,8739
87,8739
88,10227
89,8697
90,8697
91,8697
92,8697
93,9900
94,8650
95,8650
96,7400
97,8739
98,10227
99,10227
100,10227
101,8739
102,8739
103,8697
104,8697
105,8697
106,8697
107,8697
108,8697
109,8697
110,8697
111,10227
112,8739
113,10227
114,8739
115,8739
116,10227
117,7400
118,8650
119,8650
120,9900
121,8739
122,10227
123,8739
124,10227
125,10227
126,8739
127,7400
128,8650
129,8650
130,9900
131,10721
132,9877
133,9877
134,10227
135,11716
136,11716
137,8739
138,10227
139,10227
140,8697
141,9877
142,8697
143,8697
144,8395
145,9900
146,8650
147,9645
148,10227
149,8739
150,8739
151,10227
152,8739
153,10227
154,13097
155,11742
156,13097
157,8739
158,10227
159,8739
160,10227
161,8739
162,10227
163,9877
164,9877
165,10721
166,9877
167,9877
168,10721
169,10227
170,10227
171,11716
172,11716
173,8739
174,10227
175,8739
176,10227
177,10227
178,11716
179,10227
180,11716
181,8697
182,8697
183,8697
184,8697
185,8739
186,10227
187,8739
188,10227
189,8739
190,10227
191,7400
192,8650
193,8650
194,9900
195,8697
196,8697
197,8697
198,8697
199,10227
200,8739
201,10227
202,8739
203,10227
204,10400
205,9150
206,8650
207,7400
208,8739
209,18156
210,9877
211,9877
212,9877
213,10721
214,8739
215,11716
216,10227
217,10227
218,8739
219,10227
220,8697
221,9877
222,8697
223,8697
224,8650
225,9645
226,9900
227,8395
228,11716
229,10227
230,10227
231,8739
232,10227
233,8739
234,8697
235,8697
236,8697
237,8697
238,7400
239,9900
240,8650
241,8650
242,10227
243,8739
244,10227
245,8739
246,10227
247,8739
248,13097
249,13097
250,8697
251,13097
252,8739
253,10227
254,8739
255,10227
256,8739
257,10227
258,9900
259,8650
260,8650
261,7400
262,7400
263,8650
264,8650
265,9900
266,8697
267,8697
268,8697
269,8697
270,10227
271,10227
272,8739
273,10227
274,8739
275,8739
276,7400
277,8650
278,9150
279,10400
280,8697
281,8697
282,8697
283,8697
284,10227
285,10227
286,8739
287,8739
288,8739
289,10227
290,10400
291,7400
292,8650
293,9150
294,8697
295,8697
296,8697
297,8697
298,7400
299,8650
300,9900
301,8650
302,8739
303,8739
304,10227
305,8739
306,10227
307,10227
308,13097
309,13097
310,13097
311,13097
312,8697
313,8697
314,8697
315,8697
316,8739
317,10227
318,8739
319,10227
320,10227
321,8739
322,10227
323,8739
324,10227
325,8739
326,10227
327,8739
328,8650
329,8650
330,9900
331,7400
332,8697
333,8697
334,8697
335,8697
336,8697
337,8697
338,8697
339,8697
340,9900
341,8650
342,8650
343,7400
344,8739
345,10227
346,8739
347,10227
348,10227
349,8739
350,9900
351,8650
352,8650
353,7400
354,8739
355,10227
356,10227
357,8739
358,8739
359,10227
360,14267
361,11742
362,13097
363,10227
364,10227
365,8739
366,8739
367,10227
368,8739
369,8697
370,8697
371,8697
372,8697
373,8739
374,10227
375,8739
376,10227
377,8739
378,10227
379,10227
380,8739
381,10227
382,10227
383,8739
384,8739
385,7400
386,8650
387,8650
388,9900
389,7400
390,8650
391,8650
392,9900
393,8697
394,8697
395,8697
396,8697
397,9877
398,9877
399,9877
400,8739
401,10227
402,10227
403,11716
404,10227
405,11716
406,9877
407,9877
408,10721
409,10227
410,11716
411,11716
412,10227
413,10227
414,8739
415,9877
416,9877
417,10721
418,11716
419,10227
420,11716
421,10227
422,10227
423,8739
424,13097
425,11742
426,13097
427,10227
428,8739
429,10227
430,10227
431,8739
432,8739
433,8697
434,8697
435,8697
436,8697
437,7400
438,8650
439,8650
440,9900
441,10227
442,8739
443,10227
444,8739
445,10227
446,8739
447,8697
448,8697
449,8697
450,8697
451,9900
452,8650
453,7400
454,8650
455,8739
456,10227
457,8739
458,10227
459,8739
460,10227
461,8910
462,10160
463,10665
464,11915
465,8739
466,10227
467,8739
468,10227
469,10227
470,11716
471,8405
472,9655
473,8697
474,8697
475,8697
476,8697
477,7400
478,8650
479,8650
480,9900
481,8739
482,10227
483,10227
484,10227
485,8739
486,8739
487,8697
488,9877
489,8697
490,8697
491,8697
492,9877
493,8697
494,8697
495,9900
496,8650
497,9645
498,8395
499,8739
500,10227
501,8739
502,10227
503,8739
504,10227
505,9900
506,8650
507,8395
508,9645
509,8739
510,10227
511,8739
512,10227
513,8739
514,10227
515,8697
516,8697
517,8697
518,8697
519,8739
520,10227
521,10227
522,8739
523,10227
524,8739
525,7400
526,8650
527,8650
528,9900
529,13097
530,13097
531,13097
532,13097
533,8739
534,10227
535,8739
536,10227
537,8739
538,10227
539,8650
540,9900
541,7400
542,8650
543,9877
544,9877
545,9877
546,10721
547,10721
548,9877
549,9877
550,9877
551,8739
552,10227
553,8739
554,10227
555,10227
556,11716
557,11716
558,10227
559,10227
560,10227
561,8739
562,8739
563,10227
564,10227
565,8739
566,10227
567,8739
568,8739
569,7400
570,8650
571,8650
572,9900
573,8697
574,8697
575,8697
576,8697
577,10227
578,8739
579,8739
580,10227
581,8739
582,10227
583,8650
584,9900
585,7400
586,8650
587,11742
588,13097
589,13097
590,8739
591,10227
592,8739
593,10227
594,8739
595,10227
596,10721
597,9877
598,9877
599,8739
600,10227
601,10227
602,11716
603,10227
604,11716
605,8697
606,8697
607,8697
608,8739
609,10227
610,8739
611,10227
612,8739
613,10227
614,7400
615,8650
616,8650
617,9900
618,10721
619,8697
620,9877
621,9877
622,10227
623,10227
624,10227
625,8739
626,11716
627,8739
628,10665
629,10160
630,8910
631,11915
632,8697
633,8697
634,9877
635,8697
636,10227
637,8739
638,10227
639,8739
640,8739
641,10227
642,8395
643,9645
644,8650
645,9900
646,8697
647,8697
648,8697
649,8697
650,8739
651,10227
652,8739
653,10227
654,8739
655,10227
656,8650
657,9900
658,7400
659,8650
660,8405
661,9655
662,8697
663,8697
664,8697
665,8739
666,10227
667,8739
668,10227
669,8739
670,10227
671,10400
672,8650
673,7400
674,9150
675,8697
676,8697
677,8697
678,10227
679,8739
680,10227
681,8739
682,10227
683,8739
684,9900
685,8650
686,8650
687,7400
688,8697
689,8697
690,8697
691,8697
692,8739
693,10227
694,8739
695,10227
696,10227
697,8739
698,7400
699,8650
700,8650
701,9900
702,8697
703,9877
704,8697
705,8697
706,8739
707,10227
708,8739
709,10227
710,10227
711,11716
712,8395
713,9645
714,8650
715,9900
716,8697
717,8697
718,8697
719,8697
720,10227
721,8739
722,10227
723,10227
724,8739
725,8739
726,8697
727,8697
728,8697
729,8697
730,8739
731,10227
732,8739
733,8739
734,10227
735,10227
736,7400
737,8650
738,8650
739,9900
740,8650
741,7400
742,9900
743,8650
744,8697
745,8697
746,8697
747,8697
748,8739
749,10227
750,8739
751,10227
752,8739
753,10227
754,7400
755,8650
756,8650
757,9900
758,8739
759,10227
760,10227
761,8739
762,10227
763,8739
764,7400
765,8650
766,8650
767,9900
768,18156
769,8697
770,8697
771,8697
772,8697
773,10227
774,8739
775,10227
776,8739
777,10227
778,8739
779,7400
780,9150
781,10400
782,8650
783,13097
784,11742
785,13097
786,8739
787,10227
788,10227
789,10227
790,8739
791,8739
792,9877
793,9877
794,10721
795,10227
796,11716
797,10227
798,10227
799,8739
800,11716
801,10721
802,8697
803,9877
804,8697
805,10665
806,11915
807,8739
808,8739
809,10227
810,10227
811,10227
812,11716
813,8697
814,8697
815,8697
816,8697
817,7400
818,8650
819,9150
820,10400
821,10227
822,8739
823,8739
824,10227
825,10227
826,8739
827,8697
828,8697
829,8697
830,8697
831,7400
832,8650
833,9150
834,10400
835,10227
836,8739
837,10227
838,8739
839,8739
840,10227
841,8697
842,8697
843,8697
844,9900
845,8650
846,8650
847,7400
848,8739
849,10227
850,10227
851,8739
852,8739
853,10227
854,8405
855,9655
856,8697
857,8697
858,8697
859,7400
860,8650
861,9150
862,10400
863,8739
864,10227
865,8739
866,10227
867,10227
868,8739
869,8697
870,8697
871,8697
872,7400
873,8650
874,9900
875,8650
876,8739
877,10227
878,8739
879,10227
880,8739
881,10227
882,8697
883,8697
884,8697
885,8697
886,8650
887,9150
888,10400
889,7400
890,10227
891,8739
892,10227
893,8739
894,10227
895,8739
896,8697
897,8697
898,8697
899,8697
900,8739
901,10227
902,8739
903,8739
904,10227
905,10227
906,7400
907,8650
908,8650
909,9900
910,8697
911,8697
912,8697
913,7400
914,8650
915,8650
916,9900
917,8739
918,10227
919,8739
920,10227
921,8739
922,10227
923,8697
924,8697
925,8697
926,10227
927,8739
928,10227
929,8739
930,8739
931,10227
932,10400
933,7400
934,8650
935,9150
936,13097
937,13097
938,13097
939,8697
940,8739
941,10227
942,8739
943,10227
